src_ip,events,first_seen,last_seen,bytes_to_srv,bytes_to_cli
178.130.47.33,105,2025-08-29 20:45:35.958000+00:00,2025-08-30 18:20:00.500000+00:00,388.0,17190.0
82.21.185.171,105,2025-08-29 19:56:17.657000+00:00,2025-08-30 18:49:20.438000+00:00,0.0,0.0
178.130.47.172,105,2025-08-29 20:10:56.856000+00:00,2025-08-30 18:57:15.756000+00:00,831.0,11634.0
178.130.47.14,104,2025-08-29 19:58:13.818000+00:00,2025-08-30 18:44:19.541000+00:00,388.0,34380.0
178.130.47.17,104,2025-08-29 19:39:40.670000+00:00,2025-08-30 18:51:35.049000+00:00,388.0,28650.0
178.130.47.38,103,2025-08-29 20:21:33.999000+00:00,2025-08-30 19:10:27.961000+00:00,0.0,19100.0
134.209.73.71,103,2025-08-30 14:34:19.365000+00:00,2025-08-30 14:45:19.122000+00:00,3250.0,2727.0
178.130.47.175,103,2025-08-29 20:01:12.737000+00:00,2025-08-30 19:14:19.229000+00:00,388.0,30560.0
178.130.47.50,102,2025-08-29 20:26:00.378000+00:00,2025-08-30 18:59:17.382000+00:00,1488.0,13610.0
178.130.47.155,102,2025-08-29 19:38:38.500000+00:00,2025-08-30 19:20:02.351000+00:00,550.0,24830.0
178.130.47.52,102,2025-08-29 19:53:10.018000+00:00,2025-08-30 18:49:39.460000+00:00,388.0,26740.0
178.130.47.57,102,2025-08-29 20:08:12.367000+00:00,2025-08-30 18:39:55.455000+00:00,0.0,7640.0
178.130.47.13,102,2025-08-29 19:27:27.395000+00:00,2025-08-30 18:35:14.440000+00:00,0.0,20055.0
178.130.47.27,102,2025-08-29 19:46:57.740000+00:00,2025-08-30 19:14:47.078000+00:00,0.0,7640.0
178.130.47.135,102,2025-08-29 20:11:40.203000+00:00,2025-08-30 17:58:24.063000+00:00,388.0,22920.0
104.245.106.150,100,2025-08-29 20:02:38.929000+00:00,2025-08-30 18:29:44.520000+00:00,0.0,0.0
66.235.169.180,100,2025-08-29 20:03:19.334000+00:00,2025-08-30 19:17:48.515000+00:00,0.0,0.0
185.156.73.233,100,2025-08-29 22:21:57.876000+00:00,2025-08-30 15:57:10.566000+00:00,0.0,0.0
178.130.47.55,99,2025-08-29 19:34:29.526000+00:00,2025-08-30 18:29:50.532000+00:00,1179.0,21010.0
34.123.181.51,99,2025-08-29 22:50:40.255000+00:00,2025-08-30 04:51:27.330000+00:00,636.0,540.0
178.130.47.63,99,2025-08-29 19:42:47.584000+00:00,2025-08-30 18:26:55.171000+00:00,388.0,19100.0
178.130.47.154,99,2025-08-29 19:46:11.846000+00:00,2025-08-30 18:49:38.458000+00:00,938.0,34524.0
178.130.47.40,98,2025-08-29 20:02:08.706000+00:00,2025-08-30 17:50:33.696000+00:00,0.0,34380.0
80.94.95.15,98,2025-08-29 19:43:56.624000+00:00,2025-08-30 18:53:49.064000+00:00,0.0,0.0
